sim_time,tasks_done_interval,tasks_local,tasks_offloaded,mean_lat_all_ms,mean_lat_local_ms,mean_lat_edge_ms,p95_lat_all_ms,ucb_reward_mean,ucb_reward_cumulative,ucb_regret_cumulative,total_user_qlen,total_edge_qlen,u0_qlen,u1_qlen,u2_qlen,u3_qlen,u4_qlen,u5_qlen,e0_qlen,e0_busy,e0_txbuf,e0_load,e1_qlen,e1_busy,e1_txbuf,e1_load
1.0,0,0,0,,,,,,0.0,0.0,9,0,3,2,0,0,0,4,0,0,0,0,0,0,0,0
2.001,0,0,0,,,,,,0.0,0.0,24,0,7,5,0,0,5,7,0,0,0,0,0,0,0,0
3.001,5,5,0,2000.0,2000.0,,2000.0,0.0,0.0,5.0,34,0,8,8,3,3,5,7,0,0,0,0,0,0,0,0
4.001,1,1,0,2000.0,2000.0,,2000.0,0.0,0.0,6.0,48,0,13,8,6,5,8,8,0,0,0,0,0,0,0,0
5.0,5,5,0,3506.8,3506.8,,3933.8,0.0,0.0,11.0,57,0,15,10,8,5,9,10,0,0,0,0,0,0,0,0
6.0,1,1,0,3000.0,3000.0,,3000.0,0.0,0.0,12.0,71,0,16,12,13,6,9,15,0,0,0,0,0,0,0,0
7.0,5,5,0,5173.4,5173.4,,5786.2,0.0,0.0,17.0,81,0,16,15,13,8,11,18,0,0,0,0,0,0,0,0
8.0,1,1,0,4867.0,4867.0,,4867.0,0.0,0.0,18.0,95,0,19,18,17,8,12,21,0,0,0,0,0,0,0,0
9.0,5,5,0,6906.4,6906.4,,7333.0,0.0,0.0,23.0,105,0,18,20,18,12,14,23,0,0,0,0,0,0,0,0
10.001,1,1,0,6467.0,6467.0,,6467.0,0.0,0.0,24.0,120,0,21,24,19,14,17,25,0,0,0,0,0,0,0,0
11.001,5,5,0,8773.4,8773.4,,9253.6,0.0,0.0,29.0,130,0,23,23,20,17,20,27,0,0,0,0,0,0,0,0
12.001,1,1,0,7933.0,7933.0,,7933.0,0.0,0.0,30.0,144,0,26,25,23,18,22,30,0,0,0,0,0,0,0,0
13.001,5,5,0,10360.2,10360.2,,10920.6,0.0,0.0,35.0,154,0,26,27,25,19,26,31,0,0,0,0,0,0,0,0
14.001,1,1,0,9400.0,9400.0,,9400.0,0.0,0.0,36.0,168,0,32,30,27,19,28,32,0,0,0,0,0,0,0,0
15.001,5,5,0,12186.6,12186.6,,12813.6,0.0,0.0,41.0,178,0,31,33,27,21,31,35,0,0,0,0,0,0,0,0
16.001,1,1,0,11200.0,11200.0,,11200.0,0.0,0.0,42.0,192,0,34,35,30,23,33,37,0,0,0,0,0,0,0,0
