sim_time,tasks_done_interval,tasks_local,tasks_offloaded,mean_lat_all_ms,mean_lat_local_ms,mean_lat_edge_ms,p95_lat_all_ms,ucb_reward_mean,ucb_reward_cumulative,ucb_regret_cumulative,total_user_qlen,total_edge_qlen,u0_qlen,u1_qlen,u2_qlen,u3_qlen,u4_qlen,u5_qlen,e0_qlen,e0_busy,e0_txbuf,e0_load,e1_qlen,e1_busy,e1_txbuf,e1_load
1.0,0,0,0,,,,,,0.0,0.0,0,0,0,0,0,0,0,0,0,0,119,119,0,0,0,0
2.001,0,0,0,,,,,,0.0,0.0,0,0,0,0,0,0,0,0,0,1,239,240,0,0,0,0
3.001,1,0,1,2300.33,,2300.33,2300.33,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,359,359,0,0,0,0
4.001,0,0,0,,,,,,0.0,1.0,0,0,0,0,0,0,0,0,0,0,479,479,0,0,0,0
5.0,0,0,0,,,,,,0.0,1.0,0,0,0,0,0,0,0,0,0,0,598,598,0,0,0,0
6.0,1,0,1,5458.33,,5458.33,5458.33,0.0,0.0,2.0,0,0,0,0,0,0,0,0,0,0,717,717,0,0,0,0
7.0,0,0,0,,,,,,0.0,2.0,0,0,0,0,0,0,0,0,0,0,837,837,0,0,0,0
8.0,0,0,0,,,,,,0.0,2.0,0,0,0,0,0,0,0,0,0,0,957,957,0,0,0,0
9.0,1,0,1,8605.33,,8605.33,8605.33,0.0,0.0,3.0,0,0,0,0,0,0,0,0,0,0,1076,1076,0,0,0,0
10.001,0,0,0,,,,,,0.0,3.0,0,0,0,0,0,0,0,0,0,0,1197,1197,0,0,0,0
11.001,0,0,0,,,,,,0.0,3.0,0,0,0,0,0,0,0,0,0,0,1317,1317,0,0,0,0
12.001,0,0,0,,,,,,0.0,3.0,0,0,0,0,0,0,0,0,0,1,1436,1437,0,0,0,0
13.001,1,0,1,12179.33,,12179.33,12179.33,0.0,0.0,4.0,0,0,0,0,0,0,0,0,0,0,1556,1556,0,0,0,0
14.001,0,0,0,,,,,,0.0,4.0,0,0,0,0,0,0,0,0,0,0,1676,1676,0,0,0,0
15.001,0,0,0,,,,,,0.0,4.0,0,0,0,0,0,0,0,0,0,0,1796,1796,0,0,0,0
16.001,1,0,1,15383.33,,15383.33,15383.33,0.0,0.0,5.0,0,0,0,0,0,0,0,0,0,0,1915,1915,0,0,0,0
17.001,0,0,0,,,,,,0.0,5.0,0,0,0,0,0,0,0,0,0,0,2035,2035,0,0,0,0
18.001,0,0,0,,,,,,0.0,5.0,0,0,0,0,0,0,0,0,0,0,2155,2155,0,0,0,0
19.0,1,0,1,18559.33,,18559.33,18559.33,0.0,0.0,6.0,0,0,0,0,0,0,0,0,0,0,2273,2273,0,0,0,0
20.0,0,0,0,,,,,,0.0,6.0,0,0,0,0,0,0,0,0,0,0,2393,2393,0,0,0,0
21.0,0,0,0,,,,,,0.0,6.0,0,0,0,0,0,0,0,0,0,0,2513,2513,0,0,0,0
22.0,0,0,0,,,,,,0.0,6.0,0,0,0,0,0,0,0,0,0,1,2632,2633,0,0,0,0
23.0,1,0,1,22144.33,,22144.33,22144.33,0.0,0.0,7.0,0,0,0,0,0,0,0,0,0,0,2752,2752,0,0,0,0
