sim_time,tasks_done_interval,tasks_local,tasks_offloaded,mean_lat_all_ms,mean_lat_local_ms,mean_lat_edge_ms,p95_lat_all_ms,ucb_reward_mean,ucb_reward_cumulative,ucb_regret_cumulative,total_user_qlen,total_edge_qlen,u0_qlen,u1_qlen,u2_qlen,u3_qlen,u4_qlen,u5_qlen,e0_qlen,e0_busy,e0_txbuf,e0_load,e1_qlen,e1_busy,e1_txbuf,e1_load
1.0,18,18,0,579.33,579.33,,879.7,0.0,0.0,18.0,325,0,61,61,43,50,52,58,0,0,0,0,0,0,0,0
2.001,18,18,0,1438.11,1438.11,,1752.3,0.0,0.0,36.0,658,0,111,119,102,99,108,119,0,0,0,0,0,0,0,0
3.001,18,18,0,2293.5,2293.5,,2598.75,0.0,0.0,54.0,990,0,163,171,159,164,161,172,0,0,0,0,0,0,0,0
4.001,24,24,0,3268.37,3268.37,,3705.55,0.0,0.0,78.0,1316,0,211,215,216,230,211,233,0,0,0,0,0,0,0,0
5.0,18,18,0,4261.22,4261.22,,4575.3,0.0,0.0,96.0,1647,0,272,261,273,283,266,292,0,0,0,0,0,0,0,0
6.0,18,18,0,5116.22,5116.22,,5447.65,0.0,0.0,114.0,1979,0,324,315,331,339,323,347,0,0,0,0,0,0,0,0
7.0,24,24,0,6115.79,6115.79,,6580.0,0.0,0.0,138.0,2305,0,378,363,392,388,378,406,0,0,0,0,0,0,0,0
8.0,18,18,0,7093.89,7093.89,,7427.65,0.0,0.0,156.0,2637,0,419,416,456,445,441,460,0,0,0,0,0,0,0,0
9.0,18,18,0,7941.17,7941.17,,8286.95,0.0,0.0,174.0,2969,0,465,476,506,506,499,517,0,0,0,0,0,0,0,0
10.001,24,24,0,8925.75,8925.75,,9385.55,0.0,0.0,198.0,3296,0,520,524,557,567,554,574,0,0,0,0,0,0,0,0
11.001,18,18,0,9920.89,9920.89,,10249.45,0.0,0.0,216.0,3628,0,568,578,613,629,607,633,0,0,0,0,0,0,0,0
12.001,18,18,0,10780.78,10780.78,,11111.45,0.0,0.0,234.0,3960,0,636,633,661,676,657,697,0,0,0,0,0,0,0,0
13.001,24,24,0,11756.17,11756.17,,12243.0,0.0,0.0,258.0,4286,0,697,697,718,726,702,746,0,0,0,0,0,0,0,0
14.001,18,18,0,12747.0,12747.0,,13097.9,0.0,0.0,276.0,4618,0,748,748,777,786,758,801,0,0,0,0,0,0,0,0
15.001,18,18,0,13591.44,13591.44,,13953.7,0.0,0.0,294.0,4950,0,807,800,829,840,804,870,0,0,0,0,0,0,0,0
16.001,24,24,0,14578.33,14578.33,,15090.25,0.0,0.0,318.0,5276,0,854,848,877,890,868,939,0,0,0,0,0,0,0,0
17.001,18,18,0,15573.28,15573.28,,15941.8,0.0,0.0,336.0,5608,0,907,904,928,938,929,1002,0,0,0,0,0,0,0,0
18.001,18,18,0,16424.06,16424.06,,16823.9,0.0,0.0,354.0,5940,0,958,962,973,990,1002,1055,0,0,0,0,0,0,0,0
19.0,24,24,0,17413.37,17413.37,,17926.35,0.0,0.0,378.0,6265,0,1000,1017,1038,1052,1054,1104,0,0,0,0,0,0,0,0
20.0,18,18,0,18401.33,18401.33,,18806.45,0.0,0.0,396.0,6597,0,1058,1070,1092,1100,1114,1163,0,0,0,0,0,0,0,0
21.0,18,18,0,19252.22,19252.22,,19652.3,0.0,0.0,414.0,6929,0,1103,1134,1142,1152,1175,1223,0,0,0,0,0,0,0,0
22.0,24,24,0,20245.46,20245.46,,20774.1,0.0,0.0,438.0,7255,0,1157,1183,1196,1206,1237,1276,0,0,0,0,0,0,0,0
23.0,18,18,0,21233.89,21233.89,,21629.0,0.0,0.0,456.0,7587,0,1211,1232,1244,1268,1299,1333,0,0,0,0,0,0,0,0
24.0,18,18,0,22078.39,22078.39,,22487.2,0.0,0.0,474.0,7919,0,1273,1273,1300,1326,1345,1402,0,0,0,0,0,0,0,0
25.0,24,24,0,23073.29,23073.29,,23579.25,0.0,0.0,498.0,8245,0,1335,1341,1338,1382,1395,1454,0,0,0,0,0,0,0,0
26.0,18,18,0,24056.22,24056.22,,24461.75,0.0,0.0,516.0,8577,0,1382,1395,1406,1437,1447,1510,0,0,0,0,0,0,0,0
27.0,18,18,0,24916.28,24916.28,,25334.55,0.0,0.0,534.0,8909,0,1446,1445,1459,1498,1500,1561,0,0,0,0,0,0,0,0
28.0,24,24,0,25915.67,25915.67,,26468.3,0.0,0.0,558.0,9235,0,1493,1496,1520,1555,1548,1623,0,0,0,0,0,0,0,0
29.0,18,18,0,26910.39,26910.39,,27345.55,0.0,0.0,576.0,9567,0,1550,1548,1575,1619,1596,1679,0,0,0,0,0,0,0,0
30.0,18,18,0,27773.33,27773.33,,28197.9,0.0,0.0,594.0,9899,0,1603,1601,1621,1686,1642,1746,0,0,0,0,0,0,0,0
31.0,24,24,0,28753.67,28753.67,,29257.4,0.0,0.0,618.0,10225,0,1662,1649,1671,1742,1709,1792,0,0,0,0,0,0,0,0
32.0,18,18,0,29732.94,29732.94,,30136.25,0.0,0.0,636.0,10557,0,1725,1695,1722,1792,1769,1854,0,0,0,0,0,0,0,0
33.0,18,18,0,30568.61,30568.61,,30941.75,0.0,0.0,654.0,10889,0,1773,1765,1782,1853,1820,1896,0,0,0,0,0,0,0,0
34.0,24,24,0,31575.42,31575.42,,32094.0,0.0,0.0,678.0,11215,0,1831,1832,1823,1906,1860,1963,0,0,0,0,0,0,0,0
35.0,18,18,0,32565.28,32565.28,,32965.55,0.0,0.0,696.0,11547,0,1882,1885,1871,1978,1903,2028,0,0,0,0,0,0,0,0
36.0,18,18,0,33411.44,33411.44,,33836.2,0.0,0.0,714.0,11879,0,1935,1938,1918,2028,1957,2103,0,0,0,0,0,0,0,0
37.0,24,24,0,34402.29,34402.29,,34924.55,0.0,0.0,738.0,12205,0,1989,1991,1972,2083,2003,2167,0,0,0,0,0,0,0,0
38.0,18,18,0,35389.22,35389.22,,35806.0,0.0,0.0,756.0,12537,0,2051,2057,2026,2126,2053,2224,0,0,0,0,0,0,0,0
39.001,18,18,0,36234.0,36234.0,,36633.7,0.0,0.0,774.0,12870,0,2113,2121,2076,2180,2101,2279,0,0,0,0,0,0,0,0
40.001,24,24,0,37220.46,37220.46,,37762.45,0.0,0.0,798.0,13196,0,2165,2171,2130,2250,2147,2333,0,0,0,0,0,0,0,0
