sim_time,tasks_done_interval,tasks_local,tasks_offloaded,mean_lat_all_ms,mean_lat_local_ms,mean_lat_edge_ms,p95_lat_all_ms,ucb_reward_mean,ucb_reward_cumulative,ucb_regret_cumulative,total_user_qlen,total_edge_qlen,u0_qlen,u1_qlen,u2_qlen,u3_qlen,u4_qlen,u5_qlen,e0_qlen,e0_busy,e0_txbuf,e0_load,e1_qlen,e1_busy,e1_txbuf,e1_load
1.0,18,18,0,575.67,575.67,,876.15,0.0,0.0,18.0,275,0,50,52,39,39,44,51,0,0,0,0,0,0,0,0
2.001,18,18,0,1427.78,1427.78,,1743.45,0.0,0.0,36.0,557,0,100,98,90,77,93,99,0,0,0,0,0,0,0,0
3.001,18,18,0,2275.5,2275.5,,2580.9,0.0,0.0,54.0,839,0,139,145,131,140,136,148,0,0,0,0,0,0,0,0
4.001,24,24,0,3237.83,3237.83,,3673.4,0.0,0.0,78.0,1115,0,184,187,178,192,183,191,0,0,0,0,0,0,0,0
5.0,18,18,0,4221.22,4221.22,,4537.5,0.0,0.0,96.0,1397,0,224,225,231,245,221,251,0,0,0,0,0,0,0,0
6.0,18,18,0,5068.83,5068.83,,5405.85,0.0,0.0,114.0,1679,0,279,265,278,291,270,296,0,0,0,0,0,0,0,0
7.0,24,24,0,6059.96,6059.96,,6526.55,0.0,0.0,138.0,1955,0,320,311,327,335,319,343,0,0,0,0,0,0,0,0
8.0,18,18,0,7026.06,7026.06,,7365.55,0.0,0.0,156.0,2237,0,367,353,382,380,363,392,0,0,0,0,0,0,0,0
9.0,18,18,0,7864.56,7864.56,,8218.95,0.0,0.0,174.0,2519,0,401,393,437,429,423,436,0,0,0,0,0,0,0,0
10.001,24,24,0,8838.17,8838.17,,9299.55,0.0,0.0,198.0,2795,0,448,443,473,476,467,488,0,0,0,0,0,0,0,0
11.001,18,18,0,9824.22,9824.22,,10157.95,0.0,0.0,216.0,3077,0,488,492,516,522,518,541,0,0,0,0,0,0,0,0
12.001,18,18,0,10677.39,10677.39,,11013.6,0.0,0.0,234.0,3359,0,530,533,565,581,562,588,0,0,0,0,0,0,0,0
13.001,24,24,0,11640.37,11640.37,,12133.85,0.0,0.0,258.0,3635,0,573,581,611,630,602,638,0,0,0,0,0,0,0,0
14.001,18,18,0,12621.33,12621.33,,12981.05,0.0,0.0,276.0,3917,0,629,626,653,669,650,690,0,0,0,0,0,0,0,0
15.001,18,18,0,13456.67,13456.67,,13830.0,0.0,0.0,294.0,4199,0,679,684,705,707,690,734,0,0,0,0,0,0,0,0
16.001,24,24,0,14432.79,14432.79,,14955.1,0.0,0.0,318.0,4475,0,728,727,749,765,736,770,0,0,0,0,0,0,0,0
17.001,18,18,0,15418.67,15418.67,,15798.55,0.0,0.0,336.0,4757,0,770,773,800,807,777,830,0,0,0,0,0,0,0,0
18.001,18,18,0,16261.28,16261.28,,16677.2,0.0,0.0,354.0,5039,0,823,809,838,862,822,885,0,0,0,0,0,0,0,0
19.0,24,24,0,17240.33,17240.33,,17764.0,0.0,0.0,378.0,5315,0,867,849,880,896,874,949,0,0,0,0,0,0,0,0
20.0,18,18,0,18218.17,18218.17,,18640.6,0.0,0.0,396.0,5597,0,903,907,922,934,931,1000,0,0,0,0,0,0,0,0
21.0,18,18,0,19060.94,19060.94,,19477.5,0.0,0.0,414.0,5879,0,948,952,963,980,991,1045,0,0,0,0,0,0,0,0
22.0,24,24,0,20044.42,20044.42,,20585.5,0.0,0.0,438.0,6155,0,981,997,1018,1035,1038,1086,0,0,0,0,0,0,0,0
23.0,18,18,0,21022.72,21022.72,,21434.35,0.0,0.0,456.0,6437,0,1034,1045,1062,1075,1082,1139,0,0,0,0,0,0,0,0
24.0,18,18,0,21857.83,21857.83,,22284.95,0.0,0.0,474.0,6719,0,1078,1089,1113,1118,1136,1185,0,0,0,0,0,0,0,0
25.0,24,24,0,22843.67,22843.67,,23359.35,0.0,0.0,498.0,6995,0,1117,1145,1145,1168,1187,1233,0,0,0,0,0,0,0,0
26.0,18,18,0,23815.17,23815.17,,24237.95,0.0,0.0,516.0,7277,0,1165,1184,1202,1204,1243,1279,0,0,0,0,0,0,0,0
27.0,18,18,0,24668.89,24668.89,,25106.9,0.0,0.0,534.0,7559,0,1206,1223,1243,1261,1298,1328,0,0,0,0,0,0,0,0
28.0,24,24,0,25659.92,25659.92,,26229.4,0.0,0.0,558.0,7835,0,1259,1259,1286,1312,1331,1388,0,0,0,0,0,0,0,0
29.0,18,18,0,26645.33,26645.33,,27103.0,0.0,0.0,576.0,8117,0,1312,1323,1316,1364,1372,1430,0,0,0,0,0,0,0,0
30.0,18,18,0,27502.0,27502.0,,27947.2,0.0,0.0,594.0,8399,0,1353,1367,1373,1408,1419,1479,0,0,0,0,0,0,0,0
31.0,24,24,0,28470.79,28470.79,,28983.4,0.0,0.0,618.0,8675,0,1407,1415,1420,1447,1461,1525,0,0,0,0,0,0,0,0
32.0,18,18,0,29438.33,29438.33,,29859.45,0.0,0.0,636.0,8957,0,1449,1452,1470,1506,1511,1569,0,0,0,0,0,0,0,0
33.0,18,18,0,30263.28,30263.28,,30648.35,0.0,0.0,654.0,9239,0,1494,1499,1518,1557,1545,1626,0,0,0,0,0,0,0,0
34.0,24,24,0,31262.88,31262.88,,31792.95,0.0,0.0,678.0,9515,0,1541,1537,1565,1613,1586,1673,0,0,0,0,0,0,0,0
35.0,18,18,0,32242.67,32242.67,,32660.0,0.0,0.0,696.0,9797,0,1586,1584,1604,1669,1625,1729,0,0,0,0,0,0,0,0
36.0,18,18,0,33079.78,33079.78,,33525.35,0.0,0.0,714.0,10079,0,1636,1625,1649,1716,1682,1771,0,0,0,0,0,0,0,0
37.0,24,24,0,34060.71,34060.71,,34594.95,0.0,0.0,738.0,10355,0,1693,1662,1690,1759,1728,1823,0,0,0,0,0,0,0,0
38.0,18,18,0,35037.22,35037.22,,35473.6,0.0,0.0,756.0,10637,0,1733,1720,1740,1808,1779,1857,0,0,0,0,0,0,0,0
39.001,18,18,0,35872.94,35872.94,,36290.05,0.0,0.0,774.0,10919,0,1776,1773,1781,1865,1818,1906,0,0,0,0,0,0,0,0
40.001,24,24,0,36848.75,36848.75,,37406.45,0.0,0.0,798.0,11195,0,1821,1828,1819,1916,1854,1957,0,0,0,0,0,0,0,0
41.001,18,18,0,37825.06,37825.06,,38224.95,0.0,0.0,816.0,11477,0,1870,1871,1859,1964,1889,2024,0,0,0,0,0,0,0,0
42.001,18,18,0,38664.67,38664.67,,39063.0,0.0,0.0,834.0,11759,0,1915,1918,1898,2008,1937,2083,0,0,0,0,0,0,0,0
43.001,24,24,0,39664.54,39664.54,,40175.9,0.0,0.0,858.0,12035,0,1960,1960,1946,2055,1977,2137,0,0,0,0,0,0,0,0
44.001,18,18,0,40652.89,40652.89,,41064.5,0.0,0.0,876.0,12317,0,2008,2013,1997,2089,2021,2189,0,0,0,0,0,0,0,0
45.001,18,18,0,41485.5,41485.5,,41883.0,0.0,0.0,894.0,12599,0,2063,2073,2033,2139,2055,2236,0,0,0,0,0,0,0,0
46.001,24,24,0,42459.83,42459.83,,42969.95,0.0,0.0,918.0,12875,0,2116,2120,2081,2191,2093,2274,0,0,0,0,0,0,0,0
47.001,18,18,0,43440.39,43440.39,,43827.5,0.0,0.0,936.0,13157,0,2167,2165,2119,2241,2138,2327,0,0,0,0,0,0,0,0
48.001,18,18,0,44267.17,44267.17,,44623.05,0.0,0.0,954.0,13439,0,2221,2212,2173,2288,2180,2365,0,0,0,0,0,0,0,0
49.001,24,24,0,45246.37,45246.37,,45758.85,0.0,0.0,978.0,13715,0,2271,2255,2230,2334,2216,2409,0,0,0,0,0,0,0,0
50.001,18,18,0,46241.56,46241.56,,46636.0,0.0,0.0,996.0,13997,0,2318,2298,2269,2387,2264,2461,0,0,0,0,0,0,0,0
51.001,18,18,0,47087.78,47087.78,,47465.45,0.0,0.0,1014.0,14279,0,2379,2342,2313,2431,2314,2500,0,0,0,0,0,0,0,0
52.001,24,24,0,48062.5,48062.5,,48555.9,0.0,0.0,1038.0,14555,0,2424,2382,2365,2474,2367,2543,0,0,0,0,0,0,0,0
53.001,18,18,0,49024.11,49024.11,,49398.5,0.0,0.0,1056.0,14837,0,2463,2431,2418,2522,2413,2590,0,0,0,0,0,0,0,0
54.001,18,18,0,49865.11,49865.11,,50254.5,0.0,0.0,1074.0,15119,0,2509,2480,2461,2569,2464,2636,0,0,0,0,0,0,0,0
55.001,24,24,0,50859.29,50859.29,,51374.95,0.0,0.0,1098.0,15395,0,2554,2521,2516,2609,2502,2693,0,0,0,0,0,0,0,0
56.001,18,18,0,51848.94,51848.94,,52247.05,0.0,0.0,1116.0,15677,0,2597,2566,2567,2669,2540,2738,0,0,0,0,0,0,0,0
57.001,18,18,0,52682.39,52682.39,,53034.95,0.0,0.0,1134.0,15959,0,2634,2609,2610,2725,2591,2790,0,0,0,0,0,0,0,0
58.001,24,24,0,53649.58,53649.58,,54135.0,0.0,0.0,1158.0,16235,0,2664,2663,2667,2765,2639,2837,0,0,0,0,0,0,0,0
59.001,18,18,0,54631.56,54631.56,,55021.5,0.0,0.0,1176.0,16517,0,2711,2708,2720,2817,2683,2878,0,0,0,0,0,0,0,0
60.001,18,18,0,55473.67,55473.67,,55841.05,0.0,0.0,1194.0,16799,0,2752,2769,2762,2862,2729,2925,0,0,0,0,0,0,0,0
