sim_time,tasks_done_interval,tasks_local,tasks_offloaded,mean_lat_all_ms,mean_lat_local_ms,mean_lat_edge_ms,p95_lat_all_ms,ucb_reward_mean,ucb_reward_cumulative,ucb_regret_cumulative,total_user_qlen,total_edge_qlen,u0_qlen,u1_qlen,u2_qlen,u3_qlen,u4_qlen,u5_qlen,e0_qlen,e0_busy,e0_txbuf,e0_load,e1_qlen,e1_busy,e1_txbuf,e1_load
1.0,2,0,2,550.5,,550.5,685.65,0.0,0.0,2.0,0,9,0,0,0,0,0,0,9,1,17,27,0,0,0,0
2.001,3,0,3,1300.67,,1300.67,1570.63,0.0,0.0,5.0,0,18,0,0,0,0,0,0,18,1,36,55,0,0,0,0
3.001,3,0,3,2200.67,,2200.67,2470.63,0.0,0.0,8.0,0,28,0,0,0,0,0,0,28,1,53,82,0,0,0,0
4.001,3,0,3,3100.67,,3100.67,3370.63,0.0,0.0,11.0,0,37,0,0,0,0,0,0,37,1,71,109,0,0,0,0
5.0,3,0,3,4000.67,,4000.67,4270.63,0.0,0.0,14.0,0,47,0,0,0,0,0,0,47,1,87,135,0,0,0,0
6.0,3,0,3,4900.67,,4900.67,5170.63,0.0,0.0,17.0,0,56,0,0,0,0,0,0,56,1,105,162,0,0,0,0
7.0,3,0,3,5800.67,,5800.67,6070.63,0.0,0.0,20.0,0,66,0,0,0,0,0,0,66,1,122,189,0,0,0,0
8.0,3,0,3,6700.67,,6700.67,6970.63,0.0,0.0,23.0,0,75,0,0,0,0,0,0,75,1,140,216,0,0,0,0
9.0,3,0,3,7600.67,,7600.67,7870.63,0.0,0.0,26.0,0,85,0,0,0,0,0,0,85,1,157,243,0,0,0,0
10.001,3,0,3,8500.67,,8500.67,8770.63,0.0,0.0,29.0,0,94,0,0,0,0,0,0,94,1,176,271,0,0,0,0
11.001,3,0,3,9400.67,,9400.67,9670.63,0.0,0.0,32.0,0,104,0,0,0,0,0,0,104,1,193,298,0,0,0,0
12.001,3,0,3,10300.67,,10300.67,10570.63,0.0,0.0,35.0,0,113,0,0,0,0,0,0,113,1,211,325,0,0,0,0
13.001,3,0,3,11200.67,,11200.67,11470.63,0.0,0.0,38.0,0,123,0,0,0,0,0,0,123,1,228,352,0,0,0,0
14.001,3,0,3,12100.67,,12100.67,12370.63,0.0,0.0,41.0,0,132,0,0,0,0,0,0,132,1,246,379,0,0,0,0
15.001,3,0,3,13000.67,,13000.67,13270.63,0.0,0.0,44.0,0,142,0,0,0,0,0,0,142,1,263,406,0,0,0,0
16.001,3,0,3,13900.67,,13900.67,14170.63,0.0,0.0,47.0,0,151,0,0,0,0,0,0,151,1,281,433,0,0,0,0
17.001,3,0,3,14800.67,,14800.67,15070.63,0.0,0.0,50.0,0,161,0,0,0,0,0,0,161,1,298,460,0,0,0,0
18.001,3,0,3,15700.67,,15700.67,15970.63,0.0,0.0,53.0,0,170,0,0,0,0,0,0,170,1,316,487,0,0,0,0
19.0,3,0,3,16600.67,,16600.67,16870.63,0.0,0.0,56.0,0,180,0,0,0,0,0,0,180,1,332,513,0,0,0,0
20.0,3,0,3,17500.67,,17500.67,17770.63,0.0,0.0,59.0,0,189,0,0,0,0,0,0,189,1,350,540,0,0,0,0
21.0,3,0,3,18400.67,,18400.67,18670.63,0.0,0.0,62.0,0,199,0,0,0,0,0,0,199,1,367,567,0,0,0,0
22.0,3,0,3,19300.67,,19300.67,19570.63,0.0,0.0,65.0,0,208,0,0,0,0,0,0,208,1,385,594,0,0,0,0
23.0,3,0,3,20200.67,,20200.67,20470.63,0.0,0.0,68.0,0,218,0,0,0,0,0,0,218,1,402,621,0,0,0,0
24.0,3,0,3,21100.67,,21100.67,21370.63,0.0,0.0,71.0,0,228,0,0,0,0,0,0,228,1,419,648,0,0,0,0
25.0,3,0,3,22000.67,,22000.67,22270.63,0.0,0.0,74.0,0,237,0,0,0,0,0,0,237,1,437,675,0,0,0,0
26.0,3,0,3,22900.67,,22900.67,23170.63,0.0,0.0,77.0,0,247,0,0,0,0,0,0,247,1,454,702,0,0,0,0
27.0,3,0,3,23800.67,,23800.67,24070.63,0.0,0.0,80.0,0,256,0,0,0,0,0,0,256,1,472,729,0,0,0,0
28.0,3,0,3,24700.67,,24700.67,24970.63,0.0,0.0,83.0,0,266,0,0,0,0,0,0,266,1,489,756,0,0,0,0
29.0,3,0,3,25600.67,,25600.67,25870.63,0.0,0.0,86.0,0,275,0,0,0,0,0,0,275,1,507,783,0,0,0,0
30.0,3,0,3,26500.67,,26500.67,26770.63,0.0,0.0,89.0,0,285,0,0,0,0,0,0,285,1,524,810,0,0,0,0
